,AREA,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,Marseille,2020,curtailment,100000.0
1,Marseille,2020,CCS2,0.0
2,Marseille,2020,SMR + CCS1,0.0
3,Marseille,2020,WindOnShore,0.0
4,Marseille,2020,WindOffShore_flot,0.0
5,Marseille,2020,SMR + CCS2,0.0
6,Marseille,2020,CCS1,0.0
7,Marseille,2020,SMR,411.0
8,Marseille,2020,Solar,0.0
9,Marseille,2030,curtailment,100000.0
10,Marseille,2030,CCS2,0.0
11,Marseille,2030,SMR + CCS1,525.3661772076151
12,Marseille,2030,WindOnShore,0.0
13,Marseille,2030,WindOffShore_flot,0.0
14,Marseille,2030,SMR + CCS2,0.0
15,Marseille,2030,CCS1,0.0
16,Marseille,2030,SMR,-1.2705494208814505e-21
17,Marseille,2030,Solar,0.0
18,Marseille,2040,curtailment,7.275957614183426e-12
19,Marseille,2040,CCS2,0.0
20,Marseille,2040,SMR + CCS1,672.5131234869937
21,Marseille,2040,WindOnShore,0.0
22,Marseille,2040,WindOffShore_flot,0.0
23,Marseille,2040,SMR + CCS2,-1.2800983832848508e-12
24,Marseille,2040,CCS1,0.0
25,Marseille,2040,SMR,4.235164736271502e-22
26,Marseille,2040,Solar,0.0
27,Marseille,2050,curtailment,100000.0
28,Marseille,2050,CCS2,0.0
29,Marseille,2050,SMR + CCS1,672.5131234869937
30,Marseille,2050,WindOnShore,0.0
31,Marseille,2050,WindOffShore_flot,0.0
32,Marseille,2050,SMR + CCS2,82.48687651300635
33,Marseille,2050,CCS1,0.0
34,Marseille,2050,SMR,-2.117582368135751e-22
35,Marseille,2050,Solar,0.0
