,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,60505769.002121404
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,2.1382203448647292e-16
8,Marseille,2030,hydrogen,4.119168345263534e-12
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,34613482.373954006
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,2422036.1865194575
13,Marseille,2040,hydrogen,348570.1749437509
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,8132391.86522607
16,Marseille,2050,gazBio,2996391.650409469
17,Marseille,2050,electricity,1324211.129219149
18,Marseille,2050,hydrogen,1229023.3467210664
19,Marseille,2050,gaz,-0.0
