,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,WindOnShore,-0.0
1,Marseille,2020,electrolysis_PEMEL,-0.0
2,Marseille,2020,WindOffShore_flot,-0.0
3,Marseille,2020,SMR + CCS2,-0.0
4,Marseille,2020,CCS1,-0.0
5,Marseille,2020,curtailment,0.0
6,Marseille,2020,CCS2,-0.0
7,Marseille,2020,Solar,-0.0
8,Marseille,2020,electrolysis_AEL,-0.0
9,Marseille,2020,SMR,9128548.42460624
10,Marseille,2020,SMR + CCS1,-0.0
11,Marseille,2030,WindOnShore,-0.0
12,Marseille,2030,electrolysis_PEMEL,-0.0
13,Marseille,2030,WindOffShore_flot,-0.0
14,Marseille,2030,SMR + CCS2,-0.0
15,Marseille,2030,CCS1,-0.0
16,Marseille,2030,curtailment,0.0
17,Marseille,2030,CCS2,-0.0
18,Marseille,2030,Solar,-0.0
19,Marseille,2030,electrolysis_AEL,-0.0
20,Marseille,2030,SMR,14030001.157573696
21,Marseille,2030,SMR + CCS1,-0.0
22,Marseille,2040,WindOnShore,4755305.048691675
23,Marseille,2040,electrolysis_PEMEL,-0.0
24,Marseille,2040,WindOffShore_flot,5787790.057833876
25,Marseille,2040,SMR + CCS2,-0.0
26,Marseille,2040,CCS1,-0.0
27,Marseille,2040,curtailment,0.0
28,Marseille,2040,CCS2,-0.0
29,Marseille,2040,Solar,2103860.937604297
30,Marseille,2040,electrolysis_AEL,23558959.386397146
31,Marseille,2040,SMR,5572400.128056901
32,Marseille,2040,SMR + CCS1,-0.0
33,Marseille,2050,WindOnShore,3084114.8938454045
34,Marseille,2050,electrolysis_PEMEL,-0.0
35,Marseille,2050,WindOffShore_flot,36844270.00422771
36,Marseille,2050,SMR + CCS2,-0.0
37,Marseille,2050,CCS1,-0.0
38,Marseille,2050,curtailment,0.0
39,Marseille,2050,CCS2,-0.0
40,Marseille,2050,Solar,1395613.3038602897
41,Marseille,2050,electrolysis_AEL,19708465.853958216
42,Marseille,2050,SMR,3764513.8608755334
43,Marseille,2050,SMR + CCS1,-0.0
