,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,1464.4688068726346
11,Marseille,2040,HPH,1464.4688068726346
12,Marseille,2040,HPE,1464.4688068726346
13,Marseille,2040,HCE,1464.4688068726346
14,Marseille,2040,P,1463.6906096523055
15,Marseille,2050,HCH,3147.6191542974207
16,Marseille,2050,HPH,3147.6191542974207
17,Marseille,2050,HPE,3147.6191542974207
18,Marseille,2050,HCE,3147.6191542974207
19,Marseille,2050,P,3105.87592716166
