,AREA,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,France,2020,CCG,2750.0
1,France,2020,HydroRiver,11000.0
2,France,2020,TAC,6800.0
3,France,2020,OldNuke,61250.0
4,France,2020,CCG_H2,0.0
5,France,2020,WindOffShore,2600.0
6,France,2020,Solar,22270.0
7,France,2020,curtailment,1518.8621894378448
8,France,2020,electrolysis_AEL,912.5
9,France,2020,HydroReservoir,15000.0
10,France,2020,Coal_p,3500.0
11,France,2020,WindOnShore,24885.0
12,France,2020,TAC_H2,0.0
13,France,2020,IntercoIn,6997.959951384154
14,France,2020,IntercoOut,0.0
15,France,2020,NewNuke,0.0
16,France,2030,CCG,2750.0
17,France,2030,HydroRiver,11500.0
18,France,2030,TAC,3250.0
19,France,2030,OldNuke,51250.0
20,France,2030,CCG_H2,0.0
21,France,2030,WindOffShore,13050.0
22,France,2030,Solar,57350.0
23,France,2030,curtailment,101518.86218943784
24,France,2030,electrolysis_AEL,2565.676277744061
25,France,2030,HydroReservoir,15500.0
26,France,2030,Coal_p,500.0
27,France,2030,WindOnShore,40200.0
28,France,2030,TAC_H2,0.0
29,France,2030,IntercoIn,26000.0
30,France,2030,IntercoOut,0.0
31,France,2030,NewNuke,3300.0
32,France,2040,CCG,500.0
33,France,2040,HydroRiver,12500.0
34,France,2040,TAC,0.0
35,France,2040,OldNuke,29300.0
36,France,2040,CCG_H2,0.0
37,France,2040,WindOffShore,32950.0
38,France,2040,Solar,98800.0
39,France,2040,curtailment,201518.86218943784
40,France,2040,electrolysis_AEL,7011.07523373402
41,France,2040,HydroReservoir,16500.0
42,France,2040,Coal_p,0.0
43,France,2040,WindOnShore,52600.0
44,France,2040,TAC_H2,0.0
45,France,2040,IntercoIn,34550.0
46,France,2040,IntercoOut,0.0
47,France,2040,NewNuke,9900.0
48,France,2050,CCG,500.0
49,France,2050,HydroRiver,13000.0
50,France,2050,TAC,0.0
51,France,2050,OldNuke,15500.0
52,France,2050,CCG_H2,0.0
53,France,2050,WindOffShore,45000.0
54,France,2050,Solar,118000.0
55,France,2050,curtailment,201518.86218943784
56,France,2050,electrolysis_AEL,9547.492661784312
57,France,2050,HydroReservoir,17000.0
58,France,2050,Coal_p,0.0
59,France,2050,WindOnShore,58000.0
60,France,2050,TAC_H2,0.0
61,France,2050,IntercoIn,39400.0
62,France,2050,IntercoOut,0.0
63,France,2050,NewNuke,13200.0
