,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,2223450.989893044
5,Marseille,2030,tankH2_G,1607636.8621333526
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,6402511.651801176
8,Marseille,2040,tankH2_G,5198131.546065646
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,10765286.866841838
11,Marseille,2050,tankH2_G,6873119.505233353
